板块,平均价格（元/月）
CBD,16249.028235294118
七里庄,6655.0
万寿路,7091.310344827586
万柳,17650.20564516129
万源,4079.6543209876545
万达,4269.858895705522
三元桥,9134.348148148149
三里屯,11882.19918699187
上地,7568.609665427509
上岸地铁,5321.903846153846
世纪城,14053.934911242604
东关,4524.5243553008595
东单,18933.75
东四,7901.0675675675675
东坝,6379.867992766727
东城,5424.5
东大桥,14234.5
东直门,13143.224598930481
东花市,8485.98224852071
中关村,9516.142259414226
中央别墅区,23714.91702586207
丰台,5870.322580645161
丰台其它,5858.014150943396
临河里,4121.10977443609
丽泽,10490.567961165048
义和庄,4113.0
乔庄,3864.209523809524
九棵树(家乐福),5474.2390350877195
二里庄,7685.949494949495
五棵松,7028.981515711645
五道口,12186.603448275862
五里坨,3328.2368421052633
五里店,4455.901234567901
亚运村,10264.289986996098
亚运村小营,11217.075
交道口,8666.222222222223
亦庄,8519.045346062052
亦庄开发区,5426.666666666667
亦庄河西区,9386.0353200883
亮马桥,8763.929936305733
健翔桥,8722.376712328767
八角,4572.142857142857
公主坟,8541.898678414096
六里桥,6933.9914163090125
六铺炕,8888.827906976745
军博,8157.059523809524
农展馆,12088.775933609959
冯村,6300.871559633028
刘家窑,5938.453874538745
前门,6681.612903225807
劲松,5846.914653784219
北七家,6224.057750759878
北京南站,6373.043165467626
北关,5191.792372881356
北大地,4821.915032679739
北太平庄,7872.735294117647
北工大,5237.502702702703
北苑,7902.388586956522
十八里店,4509.090909090909
十里堡,6313.454901960784
十里堡镇,2195.2380952380954
十里河,10638.169491525423
华威桥,9982.790419161676
南中轴机场商务区,3149.9675925925926
南口,2425.0
南沙滩,7505.211356466877
南邵,4881.417142857143
卢沟桥,4264.693069306931
厂洼,8154.545454545455
双井,10078.698564593302
双桥,5459.5793838862555
双榆树,8780.510869565218
古北口镇,1213.25
古城,5492.142480211081
右安门内,8720.949579831933
右安门外,10683.100775193798
后沙峪,7633.775879396985
和义,4277.7027027027025
和平里,7301.650847457627
四季青,14863.154525386313
四惠,7983.221206581353
回龙观,6308.123045547247
团结湖,6878.162241887906
国展,7432.4855305466235
圆明园,9548.275862068966
地安门,14627.906976744185
垡头,5420.263313609467
城关,1845.5611510791366
城子,4012.992700729927
大兴,3930.0
大兴其它,3279.032258064516
大兴新机场,4406.837209302325
大兴新机场洋房别墅区,3469.301886792453
大兴机场空港,1588.5193370165746
大山子,13108.9
大峪,4067.408560311284
大望路,10110.997716894977
大红门,6299.259259259259
天坛,6535.123456790124
天宁寺,6837.821705426357
天宫院,4456.811224489796
天宫院南,3791.769230769231
天竺,15848.658536585366
天通苑,6764.960747663551
太平桥,6682.310344827586
太阳宫,19224.685039370077
奥林匹克公园,12180.597374179431
学院路,10043.283154121864
安宁庄,6422.418032786885
安定门,8810.628959276019
安贞,7209.131487889274
宋家庄,6465.483443708609
官园,16414.008620689656
定慧寺,7801.073873873874
定福庄,5008.101052631579
宣武门,17271.27142857143
密云镇,2742.809917355372
小汤山,10278.959183673469
小红门,5834.35
小西天,6333.952535059331
岳各庄,9032.722222222223
崇文门,8296.02752293578
工体,11100.47491638796
左安门,7364.462365591397
常营,5816.296338672769
平谷其它,2600.0
广安门,7000.937238493724
广渠门,7495.676844783715
延庆其它,2283.3333333333335
建国门内,15080.31914893617
建国门外,9343.491620111732
德胜门,12932.96875
怀柔,3055.2380952380954
怀柔其它,1500.0
惠新西街,7082.996932515337
成寿寺,6378.936170212766
房山,3000.0
房山其它,3589.2204301075267
新宫,5521.078947368421
新街口,8666.675675675675
方庄,6660.262230919765
旧宫,5736.812778603269
昌平,4515.0
昌平其它,7348.48167539267
月坛,9345.853107344632
望京,10067.974562798092
朝阳,6425.642276422765
朝阳公园,21816.227424749162
朝阳其它,4711.476923076923
朝阳门内,9353.254807692309
朝阳门外,9585.698795180722
朝青,11399.943238731219
木樨园,5744.473282442748
木樨地,10147.29044117647
李桥,2922.1875
杨庄,5547.260714285714
果园,4097.95166163142
果园街道,2485.5855855855857
枣园,4080.036929057337
梨园,4092.830882352941
欢乐谷,8147.81990521327
武夷花园,4841.793154761905
永定门,6552.786163522012
沙河,6931.781637717121
洋桥,5218.858974358975
海淀,7274.395833333333
海淀其它,5831.025641025641
海淀北部新区,6506.490196078431
清河,6850.888450148075
溪翁庄镇,4614.101851851852
滨河西区,3584.680203045685
潘家园,5724.550632911392
潞苑,5335.21503131524
瀛海,5557.45251396648
灯市口,12268.285714285714
燕山,1345.0
燕莎,16280.63492063492
牛街,7270.700483091788
牡丹园,8201.028985507246
玉桥,3998.4395604395604
玉泉营,7281.838942307692
玉泉路,7749.061488673139
甘家口,9326.161904761904
甘露园,5945.879003558719
甜水园,6886.254054054054
田村,7381.791348600509
白石桥,11263.814569536424
白纸坊,7290.28
百子湾,7274.559701492537
皂君庙,8657.15238095238
看丹桥,4929.597701149425
知春路,9138.5625
石佛营,7710.2887624466575
石景山,6216.666666666667
石景山其它,7416.870967741936
石门营,3437.6336206896553
科技园区,7646.86655948553
窦店,2798.3679653679656
立水桥,5899.32304526749
管庄,4892.4855305466235
紫竹桥,9862.320930232558
红庙,8161.654377880184
老山,4995.053571428572
良乡,3057.4951361867707
芍药居,6632.85294117647
花乡,6449.224489795918
苏州桥,9191.425233644859
苹果园,5709.555008210181
草桥,7234.9653179190755
菜户营,8002.046413502109
蒲黄榆,5300.8950276243095
西三旗,6287.789207419899
西二旗,11963.707865168539
西关环岛,3189.021126760563
西北旺,11156.904958677685
西单,20019.291666666668
西四,11944.727272727272
西坝河,7255.225563909775
西城,20041.81818181818
西山,16042.46961325967
西直门,9164.39419087137
西红门,5767.888888888889
西罗园,5165.676470588235
观音寺,3321.6176470588234
角门,5651.388535031847
豆各庄,7128.817972350231
赵公口,5288.9034482758625
车公庄,10463.007462686568
通州,10747.489795918367
通州其它,4554.491036632891
通州北苑,4665.309756097561
酒仙桥,10179.349775784753
金宝街,14105.76923076923
金融街,18971.886666666665
长椿街,8002.822916666667
长阳,4209.4280798348245
门头沟,3500.0
门头沟其它,3110.842105263158
阎村,3084.385714285714
阜成门,8106.576271186441
陶然亭,11335.048611111111
霍营,5465.992647058823
青塔,5936.81884057971
顺义,5441.090909090909
顺义其它,4347.517282479142
顺义城,3601.289783281734
颐和园,7903.75
首都机场,3740.7685185185187
马坡,4333.585780525503
