板块,平均价格（元/月）
万博,6017.6998025016455
万胜围,8790.447084233261
万顷沙,2388.6585365853657
三元里,2390.536723163842
东圃,4587.973861720067
东塱,4016.309523809524
东山口,5592.173333333333
东川路,4176.575551782683
东平,6420.689655172414
东平横岗南路,1150.0
东怡新区,4021.2837837837837
东晓南,4602.013412816692
东晓路,4076.448484848485
东涌,2636.25
东湖,4768.7037037037035
东风东,6240.090909090909
东风西,3532.1929824561403
中大,4129.344444444445
中山八,4023.8765432098767
中新镇,2176.4162633107453
二沙岛,31600.0
五山,5287.447183098591
五羊新城,6249.408203125
亚运城,3519.2116244411327
亚运大道中,2307.189655172414
京溪,4336.92
人和,2702.5
人民北,5393.111111111111
人民路,4879.455128205128
会江,3874.87012987013
体育中心,4961.23986856517
元下田,3213.779069767442
公园前,4031.6102362204724
农讲所,4748.548302872063
凤凰城,2755.5368814192343
前进路,3434.2365930599367
北京路,6585.866666666667
北兴镇,2770.221052631579
华南新城,4687.3456790123455
华南碧桂园,8398.082901554404
华景新城,4736.629570747218
南岗,2507.5338725985844
南岸路,4140.659090909091
南村,5207.1875
南沙区府,3183.943755958055
南沙港,3113.323773103888
南沙湾,2405.019342359768
南洲,5300.468468468468
南浦,4373.9102803738315
南湖,11377.339285714286
厦滘,7635.881670533643
同和,3991.7133220910623
同德围,2769.1322314049585
同福,3685.7664233576643
员村,4212.487403100775
周门,3291.0714285714284
和平西,2879.410714285714
嘉禾望岗,5353.808510638298
国际创新城,3701.1170212765956
坑口,3285.8814814814814
增城区府,2974.7842105263157
增城碧桂园,1532.8365384615386
夏园,2690.48031496063
夏茅,3760.965811965812
大坦沙,4344.007326007326
大学城,6603.953488372093
大岗镇,1982.5531914893618
大沙地,3386.513736263736
大石,3785.343213728549
大金钟路,2863.9285714285716
天河,4474.238095238095
天河公园,5323.625258799172
天河南,5051.665247018739
天河客运站,3688.995633187773
天润路,5348.647294589178
太和,2950.029411764706
太平镇,1961.822454308094
官洲,4412.741935483871
宝岗,3330.312693498452
客村,4465.847389558233
富豪山庄,4320.158333333334
小北,4326.658444022771
小楼镇,5460.0
山前大道,2760.0
岑村,4916.271186440678
工业大道中,3690.4165170556553
工业大道北,4466.286274509804
工业大道南,4438.616883116883
市桥,2655.1272727272726
市桥东,4381.880434782609
市桥北,3076.137019230769
广州南站,3035.9745222929937
广州大道南,4861.170289855072
广氮,4391.191387559808
广钢新城,4600.618631732169
建设路,4566.88431372549
开发东区,2548.09595959596
开发西区,2690.277777777778
文冲,3579.213780918728
新区,3203.285380116959
新城片区,1941.8918918918919
新塘北,2121.0882548108825
新塘南,2320.0395061728395
新市,3172.3804537521814
新港西,4233.0492091388405
旧区,2099.2778662420383
旧城区,1393.111111111111
旺城片区,1597.0588235294117
昌岗,3983.247191011236
明珠湾,3588.852068345324
星河湾,8543.979865771813
景泰,2826.0459770114944
智慧城,3002.113354037267
朱村,1891.5563218390805
机场路,3298.523947750363
杨箕,5792.128735632184
林和,6759.036129032258
桂花岗,2657.8
桥南,3001.3506044905007
梅花园,3711.7338403041826
棠下,4241.590683845391
榄核镇,2320.268656716418
横沥,2547.549848942598
正果镇,1933.3333333333333
水荫,5063.086134453782
永宁,1814.6499261447564
永泰,13650.17857142857
汇景新城,10523.360946745563
