板块,平均价格（元/月）
七宝,6655.903301886792
万体馆,6941.751552795031
万祥镇,2146.153846153846
万里,8464.969230769231
三林,5894.897920604915
上大,5217.395348837209
上海南站,4908.510204081633
不夜城,9556.544600938967
世博,5203.126909518214
世博滨江,13067.024390243903
东外滩,9333.774788624136
中原,4817.9111111111115
中山公园,8236.827054794521
中远两湾城,10059.8
丰庄,4954.666666666667
临平路,11926.814285714287
临港新城,3586.3155452436195
九亭,6935.679120879121
书院镇,2703.5789473684213
五角场,6303.921348314607
五里桥,8595.8125
人民广场,9095.173469387755
仙霞,6966.471264367816
佘山,7739.378787878788
光新,6974.815165876777
共富,4416.898876404494
共康,5225.668789808918
凉城,5670.510344827586
北外滩,10244.78417266187
北新泾,6265.9047619047615
北蔡,6637.537890044577
华东理工,4764.606299212598
华亭,1800.0
华新,4742.821705426357
华泾,7043.341666666666
华漕,8821.471471471472
南京东路,10385.28125
南京西路,11719.518134715026
南桥,2633.112436115843
南码头,5257.965909090909
南翔,5737.2532467532465
古北,17076.892405063292
古美,7991.755258126195
合庆,3822.1666666666665
吴泾,4866.60580912863
周家嘴路,6322.579281183932
周浦,5058.565811965812
唐镇,6849.635051546392
嘉定新城,4326.654462242563
嘉定老城,2854.7954545454545
四团,3028.5714285714284
四川北路,8157.057971014493
塘桥,8527.115546218487
夏阳,5594.514705882353
外冈,3184.4418604651164
外高桥,4960.61063464837
大华,6632.250859106529
大场镇,4490.579439252337
大宁,6870.35490605428
天山,11744.860606060605
奉贤金汇,2727.0521327014217
安亭,3692.7644787644786
宝山,3060.0
宣桥,2882.7727272727275
小昆山,5083.1578947368425
崇明其它,1500.0
崇明新城,1911.4933333333333
川沙,4337.424682395645
庄行,2936.7368421052633
康健,6385.387195121952
康桥,5693.2203947368425
建国西路,14819.71875
张庙,4076.383886255924
张江,7714.674418604651
彭浦,4291.310626702997
徐家汇,9547.07371349096
徐汇,10631.111111111111
徐汇滨江,24961.690476190477
徐泾,15308.578154425612
徐行,4140.428571428572
御桥,7396.497382198952
惠南,2756.6167979002626
打浦桥,12192.19209039548
控江路,4896.781065088758
斜土路,7001.803468208092
新华路,9762.083076923076
新场,3661.6721311475408
新天地,17269.25
新成路,2878.8064516129034
新桥,5884.472972972973
新江湾城,17510.353448275862
春申,6784.63829787234
普陀,5760.0
曲阳,5065.749063670412
曹家渡,9092.561983471074
曹杨,5162.3625
曹路,4179.73735725938
月浦,3034.16
朱家角,8011.616541353384
杨东,13949.630434782608
杨思前滩,8951.357781753131
杨浦,4656.125
杨行,5080.258064516129
松江大学城,4936.242700729927
松江新城,5249.035190615836
松江老城,3204.181818181818
柘林,2240.0
桃浦,5151.575
梅园,8054.512165450122
梅陇,6031.762557077625
植物园,6263.175438596491
武宁,8620.826923076924
永和,5048.8387096774195
江宁路,11356.837606837607
江桥,5013.599640933573
江湾镇,5462.088235294118
泗泾,4789.182662538699
泥城镇,2367.058201058201
洋泾,6788.603375527427
洞泾,5269.685185185185
浦东,5719.9375
浦江,5121.628272251309
海湾,3544.5777777777776
淞南,5057.775956284153
淞宝,3712.478723404255
淮海中路,10959.508333333333
源深,9560.709677419354
漕河泾,8455.641025641025
潍坊,5744.700223713647
甘泉宜川,4462.6900269541775
田林,7912.239215686274
白鹤,3065.36
盈浦,6584.420634920635
真光,5547.286956521739
真如,7233.826714801444
碧云,10780.897810218978
祝桥,5576.923076923077
罗店,4297.576666666667
罗泾,3421.4285714285716
老港镇,3000.0
老西门,16088.471698113208
老闵行,3829.7937219730943
联洋,17249.67032967033
航华,5580.594339622641
航头,4218.610256410257
花木,10623.33789954338
苏河湾,9327.63492063492
莘庄北广场,5165.189516129032
莘庄南广场,6672.951983298539
莘闵别墅,7899.912568306011
菊园新区,3414.1471571906354
董家渡,12279.666666666666
蓬莱公园,9628.615763546799
虹口,5663.0
虹桥,9255.155555555555
衡山路,11309.086294416244
西渡,3174.6417112299464
西藏北路,9009.221719457013
西郊,11083.446808510638
豫园,20017.85714285714
赵巷,11785.936
车墩,2428.9473684210525
通河,4234.586206896552
重固,5410.0
金山新城,2168.837338262477
金杨,5216.394736842105
金桥,5162.635873749037
金汇,9650.397849462366
金泽,7445.0
金虹桥,14583.6
镇宁路,7016.421259842519
长兴岛,2515.3846153846152
长宁,6323.142857142857
长寿路,9341.672131147541
长征,10279.107784431138
长桥,5347.588235294118
长风,7379.610256410257
闵浦,3723.2052023121387
闵行,4338.333333333333
闸北公园,5458.235294117647
阳城,5800.718518518518
陆家嘴,12998.359698681732
陈家镇,2917.6288659793813
静安,9975.0
静安寺,13729.552795031055
静安新城,6618.323529411765
鞍山,5164.085714285714
顾村,4295.449339207048
颛桥,6124.562874251497
香花桥,4085.2631578947367
马桥,13900.3
马陆,4170.409090909091
高东,3806.6666666666665
高境,5320.19191919192
高行,5844.237366003063
鲁迅公园,8208.664150943396
黄兴公园,5014.25
黄浦滨江,24086.74683544304
龙华,11995.71186440678
龙柏,6775.346774193548
