板块,平均价格（元/月）
万象城,9591.531531531531
上下沙,8915.834710743802
上塘,8325.162790697674
上步,5798.712121212121
东门,6075.428571428572
丹竹头,3920.059523809524
光明,4826.8398357289525
八卦岭,3998.0793650793653
公明,3517.919191919192
前海,9837.47308319739
华侨城,20503.379549393416
华强北,6971.343313373253
华强南,7676.727272727273
南头,6231.3829160530195
南山中心,6743.430401366353
南山区,7824.68085106383
后海,7841.534920634921
园岭,6424.782608695652
地王,7848.135826771653
坂田,6359.248464163823
坪地,3457.0552147239264
坪山,3615.865831842576
大学城,9428.644628099173
大运新城,3961.984562607204
大鹏半岛,4115.606936416185
宝安中心,10000.27659574468
宝安区,7049.268292682927
布吉关,4992.852297592998
布吉南岭,5147.008403361345
布吉大芬,3929.2928870292885
布吉水径,4718.62
布吉石芽岭,7486.739130434783
布吉街,4555.144970414201
布心,5315.693848354793
平湖,5164.304832713755
新安,6300.607142857143
新洲,7515.266666666666
新秀,5340.165137614679
春风路,6373.636363636364
景田,7794.425460636516
曦城,19854.866666666665
松岗,4192.693641618497
桃源居,5422.159090909091
梅林,6126.727168949772
梅林关,10320.564814814816
梅沙,8568.57627118644
横岗,4907.58940397351
民治,8087.926910299003
沙井,3943.9217391304346
沙头角,6525.555555555556
沙尾,11375.289256198346
洪湖,4531.508620689655
深圳湾,30590.75
清水河,4779.44578313253
白石洲,6588.243654822335
百仕达,5820.551246537396
百花,8882.373333333333
皇岗,7439.1006346328195
盐田港,4885.09756097561
石厦,7544.143250688705
石岩,4804.0
碧海,5941.090322580645
福永,4323.336693548387
福田中心,12917.021992238033
福田保税区,6826.755319148936
福田区,4979.054054054054
科技园,9839.012291483758
竹子林,10632.662870159453
笋岗,5716.317269076305
红山,6887.057722308892
红树湾,21163.08035714286
罗湖区,1412.0
罗湖口岸,5535.211267605634
翠竹,5466.068306010929
翻身,5035.099697885196
航城,4921.430555555556
莲塘,6844.922394678492
莲花,10505.897637795275
蛇口,13534.03488372093
螺岭,4870.182156133829
西丽,6408.720524017467
西乡,4693.87687366167
观澜,9595.578606158833
赤尾,5880.105263157895
车公庙,7489.71686746988
银湖,9572.530864197532
香梅北,7040.334572490707
香蜜湖,21876.175824175825
黄木岗,12005.882352941177
黄贝岭,6884.181818181818
龙华中心,5534.236734693877
龙华区,3236.8
龙华新区,5597.048192771084
龙岗中心城,3906.4064252932176
龙岗区,1796.764705882353
龙岗双龙,4393.02947845805
龙岗宝荷,4540.6115485564305
